average_reward,average_turns,env_id,episodes,invalid_move_rate,method,success_rate,suite
1.0,4.666666666666667,GuessTheNumber-v0-hardcore,6,0.0,textgrad_rl_no_gate,1.0,difficulty_generalization
1.0,6.0,FrozenLake-v0-random,6,0.0,textgrad_rl_no_gate,1.0,difficulty_generalization
1.0,8.0,FrozenLake-v0-hardcore,6,0.0,textgrad_rl_no_gate,1.0,difficulty_generalization
1.0,10.5,Nim-v0-medium,12,0.0,textgrad_rl_no_gate,1.0,difficulty_generalization
1.0,28.5,Nim-v0-large,12,0.0,textgrad_rl_no_gate,1.0,difficulty_generalization
1.0,15.0,TowerOfHanoi-v0-medium,6,0.0,textgrad_rl_no_gate,1.0,difficulty_generalization
1.0,31.0,TowerOfHanoi-v0-hard,6,0.0,textgrad_rl_no_gate,1.0,difficulty_generalization
0.05555555555555555,26.833333333333332,Blackjack-v0-long,6,0.0,textgrad_rl_no_gate,0.0,difficulty_generalization
0.2632370626194928,41.0,Bandit-v0-hard,6,0.0,textgrad_rl_no_gate,0.0,difficulty_generalization
1.0,4.833333333333333,Mastermind-v0-hard,6,0.0,textgrad_rl_no_gate,1.0,difficulty_generalization
1.0,4.666666666666667,GuessTheNumber-v0-hardcore,6,0.0,textgrad_rl_train_val,1.0,difficulty_generalization
1.0,6.0,FrozenLake-v0-random,6,0.0,textgrad_rl_train_val,1.0,difficulty_generalization
1.0,8.0,FrozenLake-v0-hardcore,6,0.0,textgrad_rl_train_val,1.0,difficulty_generalization
1.0,10.5,Nim-v0-medium,12,0.0,textgrad_rl_train_val,1.0,difficulty_generalization
1.0,28.5,Nim-v0-large,12,0.0,textgrad_rl_train_val,1.0,difficulty_generalization
1.0,15.0,TowerOfHanoi-v0-medium,6,0.0,textgrad_rl_train_val,1.0,difficulty_generalization
1.0,31.0,TowerOfHanoi-v0-hard,6,0.0,textgrad_rl_train_val,1.0,difficulty_generalization
0.5,15.0,Blackjack-v0-long,6,0.0,textgrad_rl_train_val,0.0,difficulty_generalization
0.2632370626194928,41.0,Bandit-v0-hard,6,0.0,textgrad_rl_train_val,0.0,difficulty_generalization
1.0,4.833333333333333,Mastermind-v0-hard,6,0.0,textgrad_rl_train_val,1.0,difficulty_generalization
1.0,4.666666666666667,GuessTheNumber-v0-hardcore,6,0.0,textgrad_rl_kl_gate,1.0,difficulty_generalization
1.0,6.0,FrozenLake-v0-random,6,0.0,textgrad_rl_kl_gate,1.0,difficulty_generalization
1.0,8.0,FrozenLake-v0-hardcore,6,0.0,textgrad_rl_kl_gate,1.0,difficulty_generalization
1.0,10.5,Nim-v0-medium,12,0.0,textgrad_rl_kl_gate,1.0,difficulty_generalization
1.0,28.5,Nim-v0-large,12,0.0,textgrad_rl_kl_gate,1.0,difficulty_generalization
1.0,15.0,TowerOfHanoi-v0-medium,6,0.0,textgrad_rl_kl_gate,1.0,difficulty_generalization
1.0,31.0,TowerOfHanoi-v0-hard,6,0.0,textgrad_rl_kl_gate,1.0,difficulty_generalization
0.5,15.0,Blackjack-v0-long,6,0.0,textgrad_rl_kl_gate,0.0,difficulty_generalization
0.2632370626194928,41.0,Bandit-v0-hard,6,0.0,textgrad_rl_kl_gate,0.0,difficulty_generalization
1.0,4.833333333333333,Mastermind-v0-hard,6,0.0,textgrad_rl_kl_gate,1.0,difficulty_generalization
1.0,4.666666666666667,GuessTheNumber-v0-hardcore,6,0.0,textgrad_rl_clipped_surrogate,1.0,difficulty_generalization
1.0,6.0,FrozenLake-v0-random,6,0.0,textgrad_rl_clipped_surrogate,1.0,difficulty_generalization
1.0,8.0,FrozenLake-v0-hardcore,6,0.0,textgrad_rl_clipped_surrogate,1.0,difficulty_generalization
1.0,10.5,Nim-v0-medium,12,0.0,textgrad_rl_clipped_surrogate,1.0,difficulty_generalization
1.0,28.5,Nim-v0-large,12,0.0,textgrad_rl_clipped_surrogate,1.0,difficulty_generalization
1.0,15.0,TowerOfHanoi-v0-medium,6,0.0,textgrad_rl_clipped_surrogate,1.0,difficulty_generalization
1.0,31.0,TowerOfHanoi-v0-hard,6,0.0,textgrad_rl_clipped_surrogate,1.0,difficulty_generalization
0.5,15.0,Blackjack-v0-long,6,0.0,textgrad_rl_clipped_surrogate,0.0,difficulty_generalization
0.2632370626194928,41.0,Bandit-v0-hard,6,0.0,textgrad_rl_clipped_surrogate,0.0,difficulty_generalization
1.0,4.833333333333333,Mastermind-v0-hard,6,0.0,textgrad_rl_clipped_surrogate,1.0,difficulty_generalization
1.0,4.666666666666667,GuessTheNumber-v0-hardcore,6,0.0,textgrad_rl_ppo,1.0,difficulty_generalization
1.0,6.0,FrozenLake-v0-random,6,0.0,textgrad_rl_ppo,1.0,difficulty_generalization
1.0,8.0,FrozenLake-v0-hardcore,6,0.0,textgrad_rl_ppo,1.0,difficulty_generalization
1.0,10.5,Nim-v0-medium,12,0.0,textgrad_rl_ppo,1.0,difficulty_generalization
1.0,28.5,Nim-v0-large,12,0.0,textgrad_rl_ppo,1.0,difficulty_generalization
1.0,15.0,TowerOfHanoi-v0-medium,6,0.0,textgrad_rl_ppo,1.0,difficulty_generalization
1.0,31.0,TowerOfHanoi-v0-hard,6,0.0,textgrad_rl_ppo,1.0,difficulty_generalization
0.5,15.0,Blackjack-v0-long,6,0.0,textgrad_rl_ppo,0.0,difficulty_generalization
0.2632370626194928,41.0,Bandit-v0-hard,6,0.0,textgrad_rl_ppo,0.0,difficulty_generalization
1.0,4.833333333333333,Mastermind-v0-hard,6,0.0,textgrad_rl_ppo,1.0,difficulty_generalization
