benchmark,method,accepted,old_score,new_score,learned_rules
BrowserGym MiniWoB++ 50,textgrad_policy_iteration,True,-0.2,-0.2,"After selecting all required checkbox, radio, or list options, click Submit exactly once instead of repeating the selected option."
TextWorldExpress 8,textgrad_policy_iteration,True,-0.44158465608465614,0.8918677248677248,"For cookingworld, read the cookbook, collect every listed ingredient and the knife, follow recipe directions in order, map grill/roast/fry/bake directions to visible cook actions, then prepare and eat the meal. | For coin search, systematically open doors and containers, move through unvisited rooms, take the coin as soon as it appears, then stop searching. | For twc, pick up misplaced objects and place each into its usual household location, such as shoes in the shoe cabinet, hats on the hat rack, dirty clothes in the laundry basket, and toiletries in the bathroom cabinet. | For mapreader, read the task and map, navigate room by room to the coin, take it, then return to the room with the box and put the coin in the box. | For arithmetic, take and read the math problem, compute the numeric answer from the visible text, take the object whose quantity equals that answer, and put it in the box. | For sorting, repeatedly take the visible object with the smallest numeric quantity and put it in the box before moving to the next larger quantity. | For simonsays, parse the quoted command after 'Simon says' and execute exactly that visible action. | For peckingorder, read the instructions book before each action and execute the current requested take action."
TextWorld 24,textgrad_policy_iteration,True,0.3336666666666666,0.49649999999999994,"For TextWorld cooking, search for the kitchen/cookbook, take and read the cookbook, collect listed ingredients, follow recipe directions for cutting/cooking, then prepare and eat the meal. | For TextWorld exploration, maintain a room graph, prefer unopened containers and unvisited exits, and avoid immediate backtracking unless no other admissible progress action exists. | For TextWorld objective games, convert the visible objective into ordered subgoals: movement directions, open/unlock commands, take target objects, and put/place target objects on or in the requested destination."
Local Transfer Protocol Probe/browser_transfer,textgrad_policy_iteration,True,0.11999999999999998,1.4649999999999999,avoid_repeated_browser_action | search_before_detail | select_then_submit
Local Transfer Protocol Probe/tau_transfer,textgrad_policy_iteration,True,-0.09111111111111114,1.4533333333333331,check_policy | confirm_final_state | verify_identity
Local Transfer Protocol Probe/swe_transfer,textgrad_policy_iteration,True,0.10666666666666665,1.4466666666666665,preserve_api | reproduce_failure | targeted_tests | trace_cross_file_flow
TextArena SLM 30-Seed/puzzle,textgrad_rl_no_gate,True,-0.47032109788359794,-0.4540009920634921,"For Hangman-v0, maintain episode state, avoid repeated guesses or moves, and prefer progress over exploration."
TextArena SLM 30-Seed/puzzle,textgrad_rl_train_val,False,-0.4370892857142857,-0.4299718915343915,"Before choosing, copy the legal action schema from the latest observation, then output only that schema with no prose."
TextArena SLM 30-Seed/social,textgrad_rl_no_gate,True,-0.6192222222222222,-0.42566666666666664,"For KuhnPoker-v0-short, inspect the observation for the exact legal action format before every move."
TextArena SLM 30-Seed/social,textgrad_rl_train_val,True,-0.5267222222222222,-0.14322222222222217,"For KuhnPoker-v0-short, inspect the observation for the exact legal action format before every move."
TextArena SLM 30-Seed/real,textgrad_rl_no_gate,True,0.1800374269005848,0.30591637426900586,"For FrozenLake-v0, use this task rule first: Plan a safe path to G while avoiding H; output one bracketed direction."
TextArena SLM 30-Seed/real,textgrad_rl_train_val,True,0.17738947368421054,0.2470619883040936,"For FrozenLake-v0, use this task rule first: Plan a safe path to G while avoiding H; output one bracketed direction."
