accepted,average_reward,average_score,average_turns,episodes,invalid_move_rate,method,split,success_rate,suite,truncation_rate
False,0.07875,-0.43899999999999995,3.55,20,1.0,textgrad_rl_no_gate_slm,train,0.0,puzzle,0.0
True,0.04729166666666666,-0.4694583333333333,3.35,20,1.0,textgrad_rl_no_gate_slm,train_candidate,0.0,puzzle,0.0
False,0.12,-0.34475,2.95,20,0.95,textgrad_rl_no_gate_slm,val_old,0.05,puzzle,0.0
True,0.108125,-0.35762499999999997,3.15,20,0.95,textgrad_rl_no_gate_slm,val_candidate,0.05,puzzle,0.0
True,0.08928571428571429,-0.42696428571428574,3.25,20,1.0,textgrad_rl_no_gate_slm,test,0.0,puzzle,0.0
False,0.104375,-0.41187500000000005,3.25,20,1.0,textgrad_rl_train_val_slm,train,0.0,puzzle,0.0
False,0.0925,-0.42325,3.15,20,1.0,textgrad_rl_train_val_slm,train_candidate,0.0,puzzle,0.0
False,0.0757142857142857,-0.43978571428571434,3.1,20,1.0,textgrad_rl_train_val_slm,val_old,0.0,puzzle,0.0
False,0.075,-0.43950000000000006,2.9,20,1.0,textgrad_rl_train_val_slm,val_candidate,0.0,puzzle,0.0
False,0.10928571428571428,-0.4062142857142857,3.1,20,1.0,textgrad_rl_train_val_slm,test,0.0,puzzle,0.0
False,0.08217261904761905,-0.435077380952381,3.45,20,1.0,textgrad_rl_kl_gate_slm,train,0.0,puzzle,0.0
True,0.0757142857142857,-0.4407857142857143,3.3,20,1.0,textgrad_rl_kl_gate_slm,train_candidate,0.0,puzzle,0.0
False,0.06,-0.454,2.8,20,1.0,textgrad_rl_kl_gate_slm,val_old,0.0,puzzle,0.0
True,0.09166666666666666,-0.42358333333333337,3.05,20,1.0,textgrad_rl_kl_gate_slm,val_candidate,0.0,puzzle,0.0
True,0.09714285714285714,-0.41735714285714287,2.9,20,1.0,textgrad_rl_kl_gate_slm,test,0.0,puzzle,0.0
False,0.06645833333333333,-0.45079166666666665,3.45,20,1.0,textgrad_rl_clipped_surrogate_slm,train,0.0,puzzle,0.0
False,0.08454545454545455,-0.4314545454545454,3.2,20,1.0,textgrad_rl_clipped_surrogate_slm,train_candidate,0.0,puzzle,0.0
False,0.06333333333333332,-0.4534166666666667,3.35,20,1.0,textgrad_rl_clipped_surrogate_slm,val_old,0.0,puzzle,0.0
False,0.065,-0.45099999999999996,3.2,20,1.0,textgrad_rl_clipped_surrogate_slm,val_candidate,0.0,puzzle,0.0
False,0.07454545454545455,-0.41620454545454544,3.15,20,0.95,textgrad_rl_clipped_surrogate_slm,test,0.0,puzzle,0.0
False,0.11472222222222221,-0.4020277777777778,3.35,20,1.0,textgrad_rl_ppo_slm,train,0.0,puzzle,0.0
False,0.12638888888888888,-0.3903611111111111,3.35,20,1.0,textgrad_rl_ppo_slm,train_candidate,0.0,puzzle,0.0
False,0.058125,-0.457625,3.15,20,1.0,textgrad_rl_ppo_slm,val_old,0.0,puzzle,0.0
False,0.04625,-0.47025000000000006,3.3,20,1.0,textgrad_rl_ppo_slm,val_candidate,0.0,puzzle,0.0
False,0.12928571428571428,-0.38721428571428573,3.3,20,1.0,textgrad_rl_ppo_slm,test,0.0,puzzle,0.0
