average_reward,average_score,average_turns,env_id,episodes,invalid_move_rate,method,success_rate,suite,truncation_rate
1.0,1.49,2.0,GuessTheNumber-v0,1,0.0,fixed_prompt_slm,1.0,real_slm,0.0
0.5,0.485,3.0,FrozenLake-v0,1,0.0,fixed_prompt_slm,0.0,real_slm,0.0
0.4,0.375,5.0,Blackjack-v0,1,0.0,fixed_prompt_slm,0.0,real_slm,0.0
-1.0,-1.51,2.0,Nim-v0,1,1.0,fixed_prompt_slm,0.0,real_slm,0.0
0.0,-0.31,12.0,Mastermind-v0,1,0.0,fixed_prompt_slm,0.0,real_slm,1.0
0.0,-0.31,12.0,GuessTheNumber-v0,1,0.0,textgrad_policy_iteration_slm,0.0,real_slm,1.0
0.5,0.48,4.0,FrozenLake-v0,1,0.0,textgrad_policy_iteration_slm,0.0,real_slm,0.0
0.4,0.375,5.0,Blackjack-v0,1,0.0,textgrad_policy_iteration_slm,0.0,real_slm,0.0
-1.0,-1.51,2.0,Nim-v0,1,1.0,textgrad_policy_iteration_slm,0.0,real_slm,0.0
0.0,-0.31,12.0,Mastermind-v0,1,0.0,textgrad_policy_iteration_slm,0.0,real_slm,1.0
1.0,1.49,2.0,GuessTheNumber-v0,1,0.0,textgrad_ppo_slm,1.0,real_slm,0.0
0.5,0.485,3.0,FrozenLake-v0,1,0.0,textgrad_ppo_slm,0.0,real_slm,0.0
0.4,0.375,5.0,Blackjack-v0,1,0.0,textgrad_ppo_slm,0.0,real_slm,0.0
-1.0,-1.52,4.0,Nim-v0,1,1.0,textgrad_ppo_slm,0.0,real_slm,0.0
0.0,-0.31,12.0,Mastermind-v0,1,0.0,textgrad_ppo_slm,0.0,real_slm,1.0
