method,slice,value,envs,episodes,average_reward,success_rate,invalid_move_rate,repeated_action_rate,average_turns
fixed_prompt,support_group,generic_fallback,31,123,0.047598487100356024,0.1951219512195122,0.6910569105691057,0.6991869918699187,7.0
fixed_prompt,support_group,supported_policy_family,19,72,0.17285855924735086,0.16666666666666666,0.2222222222222222,0.8333333333333334,13.291666666666666
fixed_prompt,category,board_game,10,60,0.0,0.45,0.3,0.7,7.8
fixed_prompt,category,card_game,2,12,0.0,0.5,0.5,1.0,3.8333333333333335
fixed_prompt,category,deduction,4,12,0.5917136591478697,0.0,0.5,0.5,8.0
fixed_prompt,category,language_puzzle,6,18,0.24030660697327363,0.0,0.8888888888888888,0.7222222222222222,6.166666666666667
fixed_prompt,category,planning,6,18,0.19444444444444445,0.0,0.5555555555555556,0.8888888888888888,10.0
fixed_prompt,category,puzzle,9,27,0.011761352825422391,0.0,0.8888888888888888,0.8888888888888888,7.518518518518518
fixed_prompt,category,social_game,3,18,0.0,0.16666666666666666,0.16666666666666666,1.0,24.666666666666668
fixed_prompt,category,stochastic_decision,6,18,0.16982171208740487,0.0,0.3333333333333333,0.6666666666666666,13.666666666666666
fixed_prompt,category,symbolic_puzzle,4,12,0.0,0.0,1.0,0.25,2.0
textgrad_policy_iteration,support_group,generic_fallback,31,123,0.047598487100356024,0.1951219512195122,0.6910569105691057,0.6991869918699187,7.0
textgrad_policy_iteration,support_group,supported_policy_family,19,72,0.6257887613551846,0.6666666666666666,0.041666666666666664,0.75,11.069444444444445
textgrad_policy_iteration,category,board_game,10,60,0.2,0.55,0.3,0.7,7.2
textgrad_policy_iteration,category,card_game,2,12,0.0,0.5,0.5,1.0,3.8333333333333335
textgrad_policy_iteration,category,deduction,4,12,1.0,1.0,0.0,0.25,4.333333333333333
textgrad_policy_iteration,category,language_puzzle,6,18,0.24030660697327363,0.0,0.8888888888888888,0.7222222222222222,6.166666666666667
textgrad_policy_iteration,category,planning,6,18,0.875,0.8333333333333334,0.16666666666666666,0.8888888888888888,7.5
textgrad_policy_iteration,category,puzzle,9,27,0.1399664810305506,0.1111111111111111,0.8888888888888888,0.7777777777777778,6.222222222222222
textgrad_policy_iteration,category,social_game,3,18,0.0,0.16666666666666666,0.16666666666666666,1.0,24.666666666666668
textgrad_policy_iteration,category,stochastic_decision,6,18,0.16982171208740487,0.0,0.3333333333333333,0.6666666666666666,13.666666666666666
textgrad_policy_iteration,category,symbolic_puzzle,4,12,0.0,0.0,1.0,0.25,2.0
