accepted,average_reward,average_score,average_turns,episodes,invalid_move_rate,method,split,success_rate,suite,truncation_rate
False,0.10714285714285714,-0.40860714285714284,3.15,20,1.0,fixed_prompt_slm,test,0.0,puzzle,0.0
False,0.09458333333333332,-0.4241666666666667,3.75,20,1.0,textgrad_policy_iteration_slm,train,0.0,puzzle,0.0
True,0.10250000000000001,-0.40275,3.55,20,0.95,textgrad_policy_iteration_slm,train_candidate,0.0,puzzle,0.05
False,0.08571428571428572,-0.4295357142857143,3.05,20,1.0,textgrad_policy_iteration_slm,val_old,0.0,puzzle,0.0
True,0.09904761904761905,-0.41695238095238096,3.2,20,1.0,textgrad_policy_iteration_slm,val_candidate,0.0,puzzle,0.0
True,0.062142857142857146,-0.4543571428571429,3.3,20,1.0,textgrad_policy_iteration_slm,test,0.0,puzzle,0.0
False,0.06714285714285714,-0.44910714285714287,3.25,20,1.0,textgrad_ppo_slm,train,0.0,puzzle,0.0
False,0.074375,-0.44037500000000007,2.95,20,1.0,textgrad_ppo_slm,train_candidate,0.0,puzzle,0.0
False,0.05500000000000001,-0.45899999999999996,2.8,20,1.0,textgrad_ppo_slm,val_old,0.0,puzzle,0.0
False,0.08583333333333334,-0.42941666666666667,3.05,20,1.0,textgrad_ppo_slm,val_candidate,0.0,puzzle,0.0
False,0.05357142857142857,-0.46142857142857147,3.0,20,1.0,textgrad_ppo_slm,test,0.0,puzzle,0.0
